Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:07:03.697, true,
2018-08-24 14:07:03.796, true,
2018-08-24 14:07:03.895, true,
2018-08-24 14:07:03.995, true,
2018-08-24 14:07:04.094, true,
2018-08-24 14:07:04.193, true,
2018-08-24 14:07:04.292, true,
2018-08-24 14:07:04.391, true,
2018-08-24 14:07:04.490, true,
2018-08-24 14:07:04.589, true,
2018-08-24 14:07:04.688, true,
2018-08-24 14:07:04.787, true,
2018-08-24 14:07:04.886, true,
2018-08-24 14:07:04.985, true,
2018-08-24 14:07:05.084, true,
2018-08-24 14:07:05.184, true,
2018-08-24 14:07:05.283, true,
2018-08-24 14:07:05.382, true,
2018-08-24 14:07:05.481, true,
2018-08-24 14:07:05.580, true,
2018-08-24 14:07:05.679, true,
2018-08-24 14:07:05.778, true,
2018-08-24 14:07:05.877, true,
2018-08-24 14:07:05.976, true,
2018-08-24 14:07:06.075, true,
2018-08-24 14:07:06.174, true,
2018-08-24 14:07:06.273, true,
2018-08-24 14:07:06.372, true,
2018-08-24 14:07:06.472, true,
2018-08-24 14:07:06.571, true,
2018-08-24 14:07:06.670, true,
2018-08-24 14:07:06.769, true,
2018-08-24 14:07:06.868, true,
2018-08-24 14:07:06.967, true,
2018-08-24 14:07:07.066, true,
2018-08-24 14:07:07.165, true,
2018-08-24 14:07:07.264, true,
2018-08-24 14:07:07.363, true,
2018-08-24 14:07:07.462, false,
2018-08-24 14:07:07.561, false,
2018-08-24 14:07:07.661, false,
2018-08-24 14:07:07.760, false,
2018-08-24 14:07:07.859, false,
2018-08-24 14:07:07.958, false,
2018-08-24 14:07:08.057, false,
2018-08-24 14:07:08.156, false,
2018-08-24 14:07:08.255, false,
2018-08-24 14:07:08.354, false,
2018-08-24 14:07:08.454, false,
2018-08-24 14:07:08.553, false,
2018-08-24 14:07:08.652, false,
2018-08-24 14:07:08.751, false,
2018-08-24 14:07:08.850, false,
2018-08-24 14:07:08.949, false,
2018-08-24 14:07:09.048, false,
2018-08-24 14:07:09.147, false,
2018-08-24 14:07:09.246, false,
2018-08-24 14:07:09.345, false,
2018-08-24 14:07:09.445, false,
2018-08-24 14:07:09.544, false,
2018-08-24 14:07:09.643, false,
2018-08-24 14:07:09.742, false,
2018-08-24 14:07:09.841, false,
2018-08-24 14:07:09.940, false,
2018-08-24 14:07:10.039, false,
2018-08-24 14:07:10.138, false,
2018-08-24 14:07:10.237, false,
2018-08-24 14:07:10.337, false,
2018-08-24 14:07:10.436, false,
2018-08-24 14:07:10.535, false,
2018-08-24 14:07:10.634, false,
2018-08-24 14:07:10.733, false,
2018-08-24 14:07:10.832, false,
2018-08-24 14:07:10.931, false,
2018-08-24 14:07:11.030, false,
2018-08-24 14:07:11.130, false,
2018-08-24 14:07:11.229, false,
2018-08-24 14:07:11.328, false,
2018-08-24 14:07:11.427, false,
2018-08-24 14:07:11.526, false,
2018-08-24 14:07:11.625, false,
2018-08-24 14:07:11.724, false,
2018-08-24 14:07:11.823, false,
2018-08-24 14:07:11.923, false,
2018-08-24 14:07:12.022, false,
